Lr: 1.255e-05 | Update: 4.516e-01 mean,8.362e-01 std | Epoch: [0][0/1594] | Time 12.741 (12.741) | Data 1.996 (1.996) | Loss 1.4847 (1.4847) | acc 0.013 (0.013) | IoU 0.013 (0.013) | [40 days, 18:46:09]
Lr: 7.528e-05 | Update: 1.715e-02 mean,3.638e-02 std | Epoch: [0][10/1594] | Time 2.905 (3.761) | Data 0.529 (0.601) | Loss 1.4659 (1.4691) | acc 0.018 (0.017) | IoU 0.018 (0.017) | [12 days, 1:43:22]
Lr: 1.380e-04 | Update: 7.345e-03 mean,1.600e-02 std | Epoch: [0][20/1594] | Time 3.042 (3.428) | Data 0.587 (0.567) | Loss 1.4149 (1.4507) | acc 0.021 (0.018) | IoU 0.021 (0.018) | [11 days, 1:16:17]
Lr: 2.008e-04 | Update: 4.205e-03 mean,9.240e-03 std | Epoch: [0][30/1594] | Time 3.265 (3.309) | Data 0.527 (0.549) | Loss 1.3865 (1.4251) | acc 0.025 (0.020) | IoU 0.025 (0.020) | [10 days, 16:15:00]
Lr: 2.635e-04 | Update: 3.056e-03 mean,6.689e-03 std | Epoch: [0][40/1594] | Time 2.971 (3.296) | Data 0.496 (0.539) | Loss 1.2735 (1.4016) | acc 0.028 (0.021) | IoU 0.027 (0.021) | [10 days, 14:42:49]
Lr: 3.262e-04 | Update: 2.455e-03 mean,5.296e-03 std | Epoch: [0][50/1594] | Time 3.025 (3.272) | Data 0.498 (0.534) | Loss 1.2602 (1.3788) | acc 0.029 (0.023) | IoU 0.029 (0.023) | [10 days, 12:40:09]
Lr: 3.890e-04 | Update: 2.357e-03 mean,5.041e-03 std | Epoch: [0][60/1594] | Time 3.719 (3.277) | Data 0.519 (0.529) | Loss 1.1841 (1.3510) | acc 0.031 (0.024) | IoU 0.031 (0.024) | [10 days, 12:41:48]
Lr: 4.517e-04 | Update: 1.987e-03 mean,4.222e-03 std | Epoch: [0][70/1594] | Time 3.367 (3.301) | Data 0.498 (0.526) | Loss 1.0958 (1.3220) | acc 0.034 (0.025) | IoU 0.033 (0.025) | [10 days, 14:02:54]
Lr: 5.144e-04 | Update: 1.807e-03 mean,3.908e-03 std | Epoch: [0][80/1594] | Time 3.856 (3.367) | Data 0.525 (0.524) | Loss 1.0426 (1.2897) | acc 0.037 (0.026) | IoU 0.037 (0.026) | [10 days, 18:22:18]
Lr: 5.772e-04 | Update: 1.553e-03 mean,3.431e-03 std | Epoch: [0][90/1594] | Time 4.166 (3.435) | Data 0.562 (0.525) | Loss 0.9514 (1.2568) | acc 0.040 (0.028) | IoU 0.039 (0.028) | [10 days, 22:54:40]
Lr: 6.399e-04 | Update: 1.300e-03 mean,2.782e-03 std | Epoch: [0][100/1594] | Time 3.947 (3.498) | Data 0.519 (0.525) | Loss 0.8556 (1.2224) | acc 0.043 (0.029) | IoU 0.042 (0.029) | [11 days, 3:03:51]
Lr: 7.026e-04 | Update: 1.149e-03 mean,2.524e-03 std | Epoch: [0][110/1594] | Time 4.074 (3.556) | Data 0.544 (0.526) | Loss 0.7965 (1.1870) | acc 0.046 (0.031) | IoU 0.046 (0.030) | [11 days, 6:59:54]
Lr: 7.654e-04 | Update: 2.171e-03 mean,6.185e-03 std | Epoch: [0][120/1594] | Time 3.936 (3.596) | Data 0.511 (0.527) | Loss 0.7615 (1.1524) | acc 0.050 (0.032) | IoU 0.049 (0.032) | [11 days, 9:41:43]
Lr: 8.281e-04 | Update: 2.005e-03 mean,4.103e-03 std | Epoch: [0][130/1594] | Time 4.002 (3.634) | Data 0.545 (0.527) | Loss 0.7177 (1.1193) | acc 0.052 (0.033) | IoU 0.052 (0.033) | [11 days, 12:14:41]
Lr: 8.908e-04 | Update: 1.113e-03 mean,2.349e-03 std | Epoch: [0][140/1594] | Time 3.688 (3.655) | Data 0.538 (0.527) | Loss 0.6169 (1.0860) | acc 0.056 (0.035) | IoU 0.055 (0.035) | [11 days, 13:35:11]
Lr: 9.536e-04 | Update: 1.069e-03 mean,2.206e-03 std | Epoch: [0][150/1594] | Time 4.264 (3.677) | Data 0.542 (0.526) | Loss 0.5940 (1.0542) | acc 0.060 (0.036) | IoU 0.059 (0.036) | [11 days, 14:58:46]
Lr: 1.016e-03 | Update: 1.126e-03 mean,2.545e-03 std | Epoch: [0][160/1594] | Time 4.338 (3.696) | Data 0.536 (0.526) | Loss 0.5265 (1.0226) | acc 0.064 (0.038) | IoU 0.063 (0.038) | [11 days, 16:13:00]
Lr: 1.079e-03 | Update: 1.056e-03 mean,2.386e-03 std | Epoch: [0][170/1594] | Time 3.953 (3.710) | Data 0.543 (0.526) | Loss 0.4888 (0.9923) | acc 0.067 (0.040) | IoU 0.066 (0.039) | [11 days, 17:08:10]
Lr: 1.142e-03 | Update: 9.562e-04 mean,1.969e-03 std | Epoch: [0][180/1594] | Time 3.948 (3.724) | Data 0.507 (0.526) | Loss 0.5082 (0.9638) | acc 0.071 (0.041) | IoU 0.070 (0.041) | [11 days, 18:02:36]
Lr: 1.205e-03 | Update: 3.665e-03 mean,7.172e-03 std | Epoch: [0][190/1594] | Time 4.097 (3.738) | Data 0.596 (0.527) | Loss 0.5273 (0.9375) | acc 0.075 (0.043) | IoU 0.074 (0.042) | [11 days, 18:59:21]
Lr: 1.267e-03 | Update: 1.173e-03 mean,2.430e-03 std | Epoch: [0][200/1594] | Time 4.125 (3.747) | Data 0.526 (0.527) | Loss 0.3985 (0.9112) | acc 0.079 (0.045) | IoU 0.078 (0.044) | [11 days, 19:35:01]
Lr: 1.330e-03 | Update: 1.329e-03 mean,2.789e-03 std | Epoch: [0][210/1594] | Time 3.832 (3.758) | Data 0.524 (0.527) | Loss 0.4250 (0.8876) | acc 0.082 (0.046) | IoU 0.081 (0.046) | [11 days, 20:20:55]
Lr: 1.393e-03 | Update: 2.039e-03 mean,3.916e-03 std | Epoch: [0][220/1594] | Time 3.893 (3.766) | Data 0.508 (0.527) | Loss 0.3972 (0.8658) | acc 0.086 (0.048) | IoU 0.084 (0.047) | [11 days, 20:54:02]
Lr: 1.455e-03 | Update: 1.464e-03 mean,2.865e-03 std | Epoch: [0][230/1594] | Time 3.934 (3.773) | Data 0.502 (0.527) | Loss 0.4238 (0.8450) | acc 0.089 (0.050) | IoU 0.087 (0.049) | [11 days, 21:20:06]
Lr: 1.518e-03 | Update: 1.465e-03 mean,2.842e-03 std | Epoch: [0][240/1594] | Time 3.875 (3.783) | Data 0.530 (0.527) | Loss 0.4037 (0.8245) | acc 0.093 (0.052) | IoU 0.090 (0.051) | [11 days, 21:57:29]
Lr: 1.581e-03 | Update: 1.144e-03 mean,2.318e-03 std | Epoch: [0][250/1594] | Time 4.007 (3.791) | Data 0.541 (0.527) | Loss 0.3456 (0.8052) | acc 0.097 (0.053) | IoU 0.094 (0.052) | [11 days, 22:27:19]
Lr: 1.644e-03 | Update: 1.665e-03 mean,3.147e-03 std | Epoch: [0][260/1594] | Time 3.855 (3.796) | Data 0.506 (0.527) | Loss 0.3214 (0.7869) | acc 0.101 (0.055) | IoU 0.098 (0.054) | [11 days, 22:46:21]
Lr: 1.706e-03 | Update: 9.586e-04 mean,1.911e-03 std | Epoch: [0][270/1594] | Time 3.879 (3.801) | Data 0.541 (0.527) | Loss 0.3333 (0.7692) | acc 0.104 (0.057) | IoU 0.102 (0.056) | [11 days, 23:04:11]
